2015-12-17 16:57:30 install gcc-4.9-base:armhf <none> 4.9.2-10
2015-12-17 16:57:30 status half-installed gcc-4.9-base:armhf 4.9.2-10
2015-12-17 16:57:30 status unpacked gcc-4.9-base:armhf 4.9.2-10
2015-12-17 16:57:30 status unpacked gcc-4.9-base:armhf 4.9.2-10
2015-12-17 16:57:31 install grep:armhf <none> 2.20-4.1
2015-12-17 16:57:31 status half-installed grep:armhf 2.20-4.1
2015-12-17 16:57:31 status unpacked grep:armhf 2.20-4.1
2015-12-17 16:57:31 status unpacked grep:armhf 2.20-4.1
2015-12-17 16:57:31 install gzip:armhf <none> 1.6-4
2015-12-17 16:57:31 status half-installed gzip:armhf 1.6-4
2015-12-17 16:57:31 status unpacked gzip:armhf 1.6-4
2015-12-17 16:57:31 status unpacked gzip:armhf 1.6-4
2015-12-17 16:57:31 install hostname:armhf <none> 3.15
2015-12-17 16:57:31 status half-installed hostname:armhf 3.15
2015-12-17 16:57:31 status unpacked hostname:armhf 3.15
2015-12-17 16:57:31 status unpacked hostname:armhf 3.15
2015-12-17 16:57:31 install init:armhf <none> 1.22
2015-12-17 16:57:31 status half-installed init:armhf 1.22
2015-12-17 16:57:32 status unpacked init:armhf 1.22
2015-12-17 16:57:32 status unpacked init:armhf 1.22
2015-12-17 16:57:32 install initscripts:armhf <none> 2.88dsf-59kali1
2015-12-17 16:57:32 status half-installed initscripts:armhf 2.88dsf-59kali1
2015-12-17 16:57:32 status unpacked initscripts:armhf 2.88dsf-59kali1
2015-12-17 16:57:32 status unpacked initscripts:armhf 2.88dsf-59kali1
2015-12-17 16:57:32 install insserv:armhf <none> 1.14.0-5
2015-12-17 16:57:32 status half-installed insserv:armhf 1.14.0-5
2015-12-17 16:57:32 status unpacked insserv:armhf 1.14.0-5
2015-12-17 16:57:32 status unpacked insserv:armhf 1.14.0-5
2015-12-17 16:57:33 install libacl1:armhf <none> 2.2.52-2
2015-12-17 16:57:33 status half-installed libacl1:armhf 2.2.52-2
2015-12-17 16:57:33 status unpacked libacl1:armhf 2.2.52-2
2015-12-17 16:57:33 status unpacked libacl1:armhf 2.2.52-2
2015-12-17 16:57:33 install libattr1:armhf <none> 1:2.4.47-2
2015-12-17 16:57:33 status half-installed libattr1:armhf 1:2.4.47-2
2015-12-17 16:57:33 status unpacked libattr1:armhf 1:2.4.47-2
2015-12-17 16:57:33 status unpacked libattr1:armhf 1:2.4.47-2
2015-12-17 16:57:33 install libaudit-common:all <none> 1:2.4-1
2015-12-17 16:57:33 status half-installed libaudit-common:all 1:2.4-1
2015-12-17 16:57:33 status unpacked libaudit-common:all 1:2.4-1
2015-12-17 16:57:33 status unpacked libaudit-common:all 1:2.4-1
2015-12-17 16:57:33 install libaudit1:armhf <none> 1:2.4-1+b1
2015-12-17 16:57:33 status half-installed libaudit1:armhf 1:2.4-1+b1
2015-12-17 16:57:34 status unpacked libaudit1:armhf 1:2.4-1+b1
2015-12-17 16:57:34 status unpacked libaudit1:armhf 1:2.4-1+b1
2015-12-17 16:57:34 install libblkid1:armhf <none> 2.25.2-6
2015-12-17 16:57:34 status half-installed libblkid1:armhf 2.25.2-6
